c,run,jfi,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
5,1,0.9980247277784883,0.5522550969999429,0.6082876660002512,0.6083169180001278,0.6083288089994312,0.6083379069987132,0.6348722089987859,0.6348951660002058,0.6349051179986418,0.634914010999637,0.646914791999734
5,2,0.9979195662401232,0.604964955999094,0.6577692949995253,0.6608160809992114,0.6608437239992782,0.693402385999434,0.6934255569995003,0.6934349589992053,0.6934450150001794,0.693454173999271,0.7091883270004473
5,3,0.993213186690171,0.49096807100067963,0.5681177680016845,0.5802439470007812,0.6251129460015363,0.6261071890003223,0.6261259200000495,0.6261405390014261,0.6261567690016818,0.6342370310012484,0.6356478430006973
5,4,0.996082209695505,0.4953406160002487,0.5469027290000668,0.5913631490002444,0.5913948449997406,0.591410540000652,0.5935740910008462,0.5936047689992847,0.6016485820000526,0.6038486060006107,0.6038607829996181
5,5,0.9985595032875542,0.5541601290005929,0.6198608970007626,0.6198823209997499,0.6198923890005972,0.6199019310006406,0.6199110440011282,0.6280623000002379,0.6280874550011504,0.6281009190006444,0.6322124690013879
5,6,0.9992356187654003,0.6660954050003056,0.6748551550008415,0.7070925820007687,0.7071262080007727,0.7149048240007687,0.7149493739998434,0.7149831250007992,0.7176520009998058,0.7176805679991958,0.7282297000001563
5,7,0.9964608125575409,0.502836280998963,0.5855069089993776,0.585537660999762,0.5981068170003709,0.5981362000002264,0.6025470250006038,0.6025764019996132,0.602593772999171,0.6167882640002063,0.6168214549998083
5,8,0.9938238478628517,0.5520112670001254,0.552041052000277,0.6614546830005565,0.6614769360003265,0.6614864340008353,0.6614960700007941,0.6615053320001607,0.661515790001431,0.6696293840013823,0.6794687319998047
5,9,0.9982062224509688,0.6587457850000646,0.7064913920003164,0.7065275370005111,0.7065421220013377,0.7229132640004536,0.7229482069997175,0.7362921470012225,0.7513359330005187,0.7513658640000358,0.7699298870011262
9,0,0.998395065313422,0.6524261909999041,0.6722916620001342,0.6723240449991863,0.6723390570004995,0.7021745759993792,0.7022071369992773,0.727941875000397,0.7279660069998499,0.7279749949993857,0.7279861759998312
9,1,0.9939455153805586,0.4640631950005627,0.5391928539993387,0.563851158000034,0.5638814760004607,0.5694146450005064,0.5915471900007105,0.591578985000524,0.5915946530003566,0.5916099099995336,0.6005180140000448
9,2,0.99268811781792,0.4833032859987725,0.5872765419990174,0.5900808329988649,0.6194602309988113,0.619495338998604,0.6195086349998746,0.6195216409996647,0.619536504998905,0.6195522990001336,0.6614242569994531
9,3,0.9942644393035491,0.5075866740007768,0.5900774649999221,0.6061841190003179,0.6062134250005329,0.6062297070002387,0.6411782380000659,0.6412137050010642,0.6422239860003174,0.6477076250012033,0.655809121000857
9,4,0.998006353915292,0.5838477919987781,0.5838750679995428,0.6039674509993347,0.6039980240002478,0.6160651789996336,0.6382737849999103,0.6383054029993218,0.6391139320003276,0.6513985689998663,0.671945104999395
9,5,0.9759864206263442,0.47807084299893177,0.47808947899829946,0.661935108999387,0.6619690279985662,0.6823114449998684,0.6823480589991959,0.6823649009984365,0.6823800029997074,0.6962551449996681,0.6962809189990367
9,6,0.9971782784589138,0.6611291950011946,0.7427916720007488,0.745396846001313,0.7473603140006162,0.7767203790008352,0.7767421709995688,0.7767535310013045,0.7767629589998251,0.7887881170008768,0.795144870000513
9,7,0.9978653612963495,0.5873256369995943,0.6514250079999329,0.6514568889997463,0.6514722499996424,0.6514860850002151,0.6622336210002686,0.6631081519990403,0.6778378029994201,0.6838762209990819,0.7036180439990858
9,8,0.9954627279937674,0.5221029610002006,0.6025698849989567,0.6125065260002884,0.615801191999708,0.6358280749991536,0.6358590549989458,0.6358742229986092,0.635889736999161,0.6592077989989775,0.6592331289994036
9,9,0.9954384699991087,0.5064563489995635,0.6095746089995373,0.609608491000472,0.6096237259989721,0.6105808440006513,0.6106065669991949,0.628581282999221,0.6286035459997947,0.6286133300000074,0.6417261619990313
13,0,0.991100242822395,0.44048307399862097,0.5033411039985367,0.5234969529992668,0.5564622659985616,0.556491602999813,0.5593544659986946,0.5695652709982824,0.5954323759997351,0.5954526149998856,0.5954618919986387
