bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi 
100,0.0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.468052,8.311929,32317690,32317690,34.619673,31.104875,0.657245,0.997148
100,0.5,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,15.307885,14.497163,32317690,32317690,16.889435,17.833939,0.347234,0.999261
100,1.0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,15.531454,17.334967,32317690,32317690,16.646318,14.914452,0.315608,0.996998
100,1.5,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,27.141394,24.765834,32317690,32317690,9.525727,10.439443,0.199652,0.997910
100,2.0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,32.442064,32.892250,32317690,32317690,7.969330,7.860257,0.158296,0.999953
