bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi 
100,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.197974,5.822753,32317690,32317690,35.918651,44.401937,0.803206,0.988968
100,0,10,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,9.340832,11.370913,32317690,32317690,27.678640,22.737095,0.504157,0.990484
100,0,15,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.689756,9.285826,32317690,32317690,33.621552,27.842599,0.614642,0.991237
100,0,20,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,5.261137,10.526028,32317690,32317690,49.141758,24.562116,0.737039,0.899914
100,0,25,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,5.495167,8.907846,32317690,32317690,47.048888,29.024023,0.760729,0.946843
